                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0158,                0.41554,                 1.2431,                0.99363,                  0.994,                 0.9941,                0.74275,                 1.0388,                0.36396,                 1.3486,               0.006634,               0.006634,               0.006634
                     37,                 1.0117,                0.41132,                 1.2437,                0.99436,                 0.9922,                0.99426,                0.73085,                 1.0568,                0.36776,                 1.3613,               0.006535,               0.006535,               0.006535
                     38,                 1.0101,                0.40961,                 1.2388,                0.99426,                 0.9922,                0.99405,                0.72546,                 1.0623,                0.37727,                 1.3636,               0.006436,               0.006436,               0.006436
                     39,                 1.0071,                0.40663,                 1.2374,                0.99221,                0.99286,                0.99405,                 0.7234,                 1.0838,                0.37381,                 1.3761,               0.006337,               0.006337,               0.006337
                     40,                 1.0101,                0.41036,                 1.2304,                0.99379,                 0.9946,                0.99398,                0.73958,                 1.0459,                0.36118,                 1.3633,               0.006238,               0.006238,               0.006238
                     41,                 1.0053,                0.40703,                 1.2337,                0.99485,                 0.9922,                0.99395,                0.74159,                 1.0459,                0.36267,                 1.3567,               0.006139,               0.006139,               0.006139
                     42,                  1.014,                 0.4073,                 1.2404,                0.99279,                0.99156,                0.99407,                0.73857,                 1.0629,                0.36565,                 1.3621,                0.00604,                0.00604,                0.00604
                     43,                 1.0002,                0.40455,                 1.2318,                0.99398,                 0.9922,                0.99413,                0.73965,                 1.0488,                0.36336,                 1.3587,               0.005941,               0.005941,               0.005941
                     44,                  1.006,                 0.4065,                 1.2329,                0.99162,                 0.9964,                0.99418,                0.73938,                 1.0448,                0.36158,                 1.3549,               0.005842,               0.005842,               0.005842
                     45,                0.98756,                0.39723,                 1.2262,                0.99316,                  0.988,                0.99411,                 0.7396,                 1.0503,                 0.3573,                 1.3533,               0.005743,               0.005743,               0.005743
                     46,                 1.0068,                0.40202,                 1.2377,                0.99568,                 0.9928,                0.99361,                0.74241,                 1.0451,                0.35412,                 1.3504,               0.005644,               0.005644,               0.005644
                     47,                0.99688,                0.40081,                 1.2337,                0.99399,                0.99293,                 0.9938,                0.74086,                 1.0491,                0.35331,                 1.3525,               0.005545,               0.005545,               0.005545
                     48,                0.99896,                0.40072,                 1.2364,                0.99307,                 0.9922,                0.99406,                0.74263,                 1.0502,                0.35306,                 1.3584,               0.005446,               0.005446,               0.005446
                     49,                 1.0025,                0.39944,                 1.2328,                0.99341,                0.99547,                0.99382,                0.73657,                 1.0527,                0.35928,                 1.3565,               0.005347,               0.005347,               0.005347
                     50,                0.99446,                0.39898,                 1.2316,                0.99253,                 0.9934,                0.99372,                0.74521,                 1.0506,                0.35463,                 1.3549,               0.005248,               0.005248,               0.005248
                     51,                0.99229,                0.39797,                 1.2237,                0.99206,                 0.9952,                0.99424,                0.73925,                 1.0427,                0.35447,                 1.3475,               0.005149,               0.005149,               0.005149
                     52,                0.98309,                 0.3945,                 1.2286,                0.99461,                0.99639,                 0.9942,                0.74313,                  1.046,                0.34877,                 1.3498,                0.00505,                0.00505,                0.00505
                     53,                0.99135,                0.39594,                 1.2225,                0.98936,                 0.9964,                0.99431,                0.73528,                 1.0535,                0.35484,                 1.3607,               0.004951,               0.004951,               0.004951
                     54,                0.98852,                 0.3939,                 1.2236,                0.99279,                0.99068,                0.99365,                0.74142,                 1.0449,                0.35091,                 1.3497,               0.004852,               0.004852,               0.004852
                     55,                0.98695,                0.39405,                 1.2252,                0.99284,                 0.9928,                0.99395,                0.73697,                 1.0422,                0.34561,                 1.3437,               0.004753,               0.004753,               0.004753
                     56,                0.98615,                0.39535,                 1.2201,                 0.9917,                 0.9934,                0.99414,                0.73546,                  1.056,                0.35585,                 1.3549,               0.004654,               0.004654,               0.004654
                     57,                0.98801,                 0.3908,                 1.2248,                0.99401,                0.99554,                0.99429,                0.74253,                 1.0432,                0.35103,                 1.3447,               0.004555,               0.004555,               0.004555
                     58,                0.98095,                0.38832,                 1.2212,                0.99282,                0.99485,                0.99378,                 0.7426,                 1.0428,                0.34919,                 1.3446,               0.004456,               0.004456,               0.004456
                     59,                 0.9791,                 0.3872,                 1.2248,                0.99476,                 0.9952,                0.99399,                0.73974,                 1.0511,                0.34889,                 1.3519,               0.004357,               0.004357,               0.004357
