frame_number,vehicle_id,vehicle_bounding_box,license_plate_bounding_box,license_plate_bounding_box_accuracy,license_number,license_number_accuracy
0,1.0,[683.1661376953125 204.93594360351562 1192.3355712890625 600.6697998046875],[818.7521362304688 462.7349853515625 951.45068359375 502.27642822265625],0.762476921081543,29A32485,0.5220088541579685
1,1.0,[670.1570307742236 203.2301854145493 1184.8146244675136 603.5421895055661],[810.5771484375 463.6960144042969 939.0206909179688 502.1045837402344],0.751823365688324,79A33185,0.6838586093056725
3,1.0,[648.2898692511015 197.9152859597894 1174.8831425803874 607.8188978065475],[787.4777221679688 466.323974609375 924.2166748046875 507.7785949707031],0.7411392331123352,29A33185,0.47151157599498944
5,1.0,[623.4207447557873 196.54153014288948 1164.0114938270763 614.9216679128542],[767.0967407226562 470.34515380859375 905.299072265625 512.1066284179688],0.719756007194519,29A33185,0.3620898922111039
6,1.0,[610.4078322170812 195.264526468572 1158.460439320944 619.1531872717735],[754.7446899414062 473.0375061035156 892.9986572265625 513.69970703125],0.722679853439331,29A33185,0.7090194304306403
7,1.0,[596.9442832528763 193.5188889918032 1152.4635768626345 623.138756203931],[740.0445556640625 474.0632019042969 884.2673950195312 518.34716796875],0.7473239302635193,29A33185,0.2122491843027064
8,1.0,[581.9233441017589 192.20298319199037 1146.01111729879 627.8290233371098],[728.599365234375 477.2633056640625 872.8086547851562 523.3487548828125],0.7724313735961914,29A33185,0.38448976025389375
9,1.0,[564.1958131703045 191.10080436596147 1137.9905793387393 631.9329475177765],[716.4862060546875 478.27386474609375 860.3594970703125 525.9855346679688],0.7757397294044495,29A33185,0.5825409358229484
10,1.0,[546.8806699538206 187.9114858968664 1131.9057344039009 635.178416193382],[700.450927734375 480.8382568359375 851.1470947265625 527.3843994140625],0.7767272591590881,29A33185,0.3726312928798834
11,1.0,[533.3412964947094 186.00180067208458 1126.9905277271237 639.2458950173498],[683.0036010742188 483.9876708984375 835.2404174804688 528.4012451171875],0.7739481925964355,29A33185,0.6222855489384214
12,1.0,[514.6614277319943 184.87628687826134 1115.7717645922219 644.849448072383],[668.1749877929688 484.3253173828125 820.807861328125 532.886962890625],0.7620888352394104,29A33185,0.5572524342359861
15,1.0,[455.4069086418565 180.87600374026277 1083.1015503042015 660.6050343564427],[612.04931640625 491.4300842285156 770.4776000976562 542.5415649414062],0.7349204421043396,29A33185,0.6518729360999116
16,1.0,[435.1609132145485 178.16902674760217 1072.115088824838 664.9355365685424],[591.4238891601562 494.7579345703125 756.8177490234375 545.7559814453125],0.7444295287132263,29A33185,0.6368007395742098
17,1.0,[416.4514802037016 176.48409237760825 1061.518052141739 670.2208229250962],[576.0260009765625 498.3007507324219 739.1267700195312 551.4864501953125],0.7698689699172974,29A33185,0.42367103102925774
18,1.0,[397.2320000949087 176.17565300450434 1052.7542773482758 676.5855059629996],[558.77880859375 505.0628356933594 724.140625 556.7509155273438],0.7810149192810059,29I33185,0.5640014536487842
19,1.0,[380.4698804073974 176.31813804677176 1045.6255732828508 683.5513344587928],[541.8043212890625 507.67529296875 711.968994140625 561.93017578125],0.7697361707687378,29A33185,0.6968563314725965
21,1.0,[344.462689119003 168.84519271999795 1031.3492837933293 692.6653119844209],[507.00030517578125 517.4511108398438 682.60693359375 568.4461669921875],0.7505086660385132,29A33185,0.8325195837475212
